,name_of_city,latitude,longitude,Venue Types
0,Abohar ,30.1450543,74.1956597,General Travel
0,Abohar ,30.1450543,74.1956597,Park
0,Abohar ,30.1450543,74.1956597,Building
0,Abohar ,30.1450543,74.1956597,Bus Station
0,Abohar ,30.1450543,74.1956597,French Restaurant
0,Abohar ,30.1450543,74.1956597,African Restaurant
0,Abohar ,30.1450543,74.1956597,Winery
0,Abohar ,30.1450543,74.1956597,Cuban Restaurant
0,Abohar ,30.1450543,74.1956597,Train Station
0,Abohar ,30.1450543,74.1956597,BBQ Joint
0,Abohar ,30.1450543,74.1956597,Fast Food Restaurant
0,Abohar ,30.1450543,74.1956597,Burrito Place
0,Abohar ,30.1450543,74.1956597,Steakhouse
0,Abohar ,30.1450543,74.1956597,Clothing Store
0,Abohar ,30.1450543,74.1956597,Bank
0,Abohar ,30.1450543,74.1956597,Bank
0,Abohar ,30.1450543,74.1956597,Asian Restaurant
0,Abohar ,30.1450543,74.1956597,Bank
0,Abohar ,30.1450543,74.1956597,ATM
0,Abohar ,30.1450543,74.1956597,Clothing Store
0,Abohar ,30.1450543,74.1956597,Hospital
0,Abohar ,30.1450543,74.1956597,Café
0,Abohar ,30.1450543,74.1956597,Café
0,Abohar ,30.1450543,74.1956597,Movie Theater
0,Abohar ,30.1450543,74.1956597,Movie Theater
0,Abohar ,30.1450543,74.1956597,Café
0,Abohar ,30.1450543,74.1956597,Coworking Space
0,Abohar ,30.1450543,74.1956597,American Restaurant
0,Abohar ,30.1450543,74.1956597,Mac & Cheese Joint
0,Abohar ,30.1450543,74.1956597,Factory
0,Abohar ,30.1450543,74.1956597,Bus Station
0,Abohar ,30.1450543,74.1956597,Distillery
0,Abohar ,30.1450543,74.1956597,Bank
0,Abohar ,30.1450543,74.1956597,Asian Restaurant
0,Abohar ,30.1450543,74.1956597,Hospital
0,Abohar ,30.1450543,74.1956597,Women's Store
0,Abohar ,30.1450543,74.1956597,Hospital
0,Abohar ,30.1450543,74.1956597,Law School
0,Abohar ,30.1450543,74.1956597,Arts & Crafts Store
0,Abohar ,30.1450543,74.1956597,Bakery
0,Abohar ,30.1450543,74.1956597,Building
0,Abohar ,30.1450543,74.1956597,Argentinian Restaurant
0,Abohar ,30.1450543,74.1956597,Office
0,Abohar ,30.1450543,74.1956597,Building
0,Abohar ,30.1450543,74.1956597,Event Space
0,Abohar ,30.1450543,74.1956597,Cuban Restaurant
0,Abohar ,30.1450543,74.1956597,Event Space
0,Abohar ,30.1450543,74.1956597,Furniture / Home Store
0,Abohar ,30.1450543,74.1956597,General Travel
0,Abohar ,30.1450543,74.1956597,Design Studio
0,Abohar ,30.1450543,74.1956597,Indonesian Restaurant
0,Abohar ,30.1450543,74.1956597,General Travel
0,Abohar ,30.1450543,74.1956597,Factory
0,Abohar ,30.1450543,74.1956597,College Science Building
0,Abohar ,30.1450543,74.1956597,Ice Cream Shop
0,Abohar ,30.1450543,74.1956597,Dumpling Restaurant
0,Abohar ,30.1450543,74.1956597,Food Court
0,Abohar ,30.1450543,74.1956597,Burger Joint
0,Abohar ,30.1450543,74.1956597,Park
0,Abohar ,30.1450543,74.1956597,Farm
0,Abohar ,30.1450543,74.1956597,Fast Food Restaurant
0,Abohar ,30.1450543,74.1956597,Indian Restaurant
0,Abohar ,30.1450543,74.1956597,Hotel
0,Abohar ,30.1450543,74.1956597,ATM
0,Abohar ,30.1450543,74.1956597,ATM
0,Abohar ,30.1450543,74.1956597,Pizza Place
1,Achalpur ,21.2414447,77.42575731,Doctor's Office
1,Achalpur ,21.2414447,77.42575731,Hospital
1,Achalpur ,21.2414447,77.42575731,Hospital
1,Achalpur ,21.2414447,77.42575731,Vegetarian / Vegan Restaurant
1,Achalpur ,21.2414447,77.42575731,Indian Restaurant
2,Adilabad ,19.5,78.5,Food
3,Adityapur ,22.7823546,86.1590034,General Travel
3,Adityapur ,22.7823546,86.1590034,Department Store
3,Adityapur ,22.7823546,86.1590034,Hotel
3,Adityapur ,22.7823546,86.1590034,Beach
3,Adityapur ,22.7823546,86.1590034,High School
3,Adityapur ,22.7823546,86.1590034,Student Center
3,Adityapur ,22.7823546,86.1590034,Indian Restaurant
3,Adityapur ,22.7823546,86.1590034,Ice Cream Shop
3,Adityapur ,22.7823546,86.1590034,Parade
3,Adityapur ,22.7823546,86.1590034,Housing Development
3,Adityapur ,22.7823546,86.1590034,Restaurant
3,Adityapur ,22.7823546,86.1590034,Indian Restaurant
3,Adityapur ,22.7823546,86.1590034,Indian Restaurant
3,Adityapur ,22.7823546,86.1590034,Food Truck
3,Adityapur ,22.7823546,86.1590034,Food Truck
3,Adityapur ,22.7823546,86.1590034,Hospital
3,Adityapur ,22.7823546,86.1590034,Clothing Store
3,Adityapur ,22.7823546,86.1590034,Bank
3,Adityapur ,22.7823546,86.1590034,Bank
3,Adityapur ,22.7823546,86.1590034,Department Store
3,Adityapur ,22.7823546,86.1590034,Residential Building (Apartment / Condo)
3,Adityapur ,22.7823546,86.1590034,Bank
3,Adityapur ,22.7823546,86.1590034,Breakfast Spot
3,Adityapur ,22.7823546,86.1590034,Pharmacy
3,Adityapur ,22.7823546,86.1590034,Automotive Shop
3,Adityapur ,22.7823546,86.1590034,Temple
3,Adityapur ,22.7823546,86.1590034,College Cafeteria
3,Adityapur ,22.7823546,86.1590034,Laundry Service
3,Adityapur ,22.7823546,86.1590034,Car Wash
3,Adityapur ,22.7823546,86.1590034,Flower Shop
3,Adityapur ,22.7823546,86.1590034,Police Station
3,Adityapur ,22.7823546,86.1590034,Bookstore
3,Adityapur ,22.7823546,86.1590034,Convenience Store
3,Adityapur ,22.7823546,86.1590034,Bakery
3,Adityapur ,22.7823546,86.1590034,Spa
3,Adityapur ,22.7823546,86.1590034,Temple
3,Adityapur ,22.7823546,86.1590034,Bank
3,Adityapur ,22.7823546,86.1590034,Breakfast Spot
3,Adityapur ,22.7823546,86.1590034,Pharmacy
3,Adityapur ,22.7823546,86.1590034,Event Space
3,Adityapur ,22.7823546,86.1590034,Bakery
3,Adityapur ,22.7823546,86.1590034,College Residence Hall
3,Adityapur ,22.7823546,86.1590034,Lounge
3,Adityapur ,22.7823546,86.1590034,Factory
3,Adityapur ,22.7823546,86.1590034,Office
3,Adityapur ,22.7823546,86.1590034,Bank
3,Adityapur ,22.7823546,86.1590034,Snack Place
3,Adityapur ,22.7823546,86.1590034,Basketball Court
3,Adityapur ,22.7823546,86.1590034,Fish Market
3,Adityapur ,22.7823546,86.1590034,Automotive Shop
3,Adityapur ,22.7823546,86.1590034,Shoe Store
3,Adityapur ,22.7823546,86.1590034,Other Nightlife
3,Adityapur ,22.7823546,86.1590034,Clothing Store
3,Adityapur ,22.7823546,86.1590034,Car Wash
3,Adityapur ,22.7823546,86.1590034,Club House
3,Adityapur ,22.7823546,86.1590034,Community College
3,Adityapur ,22.7823546,86.1590034,Cosmetics Shop
